setting,subset,count,mse,mae,split
B4_no_pruning,confident,2490,0.6789471337923324,0.5557269850768238,validation
B4_no_pruning,ambiguous,295,0.6706325095588878,0.5496476265333466,validation
B4_static_pruning_25,confident,2490,0.6584881889113939,0.5522370983079734,validation
B4_static_pruning_25,ambiguous,295,0.6128855601205664,0.5375906297716043,validation
B4_dynamic_75_independent,confident,2490,0.655880889003296,0.5500386707993397,validation
B4_dynamic_75_independent,ambiguous,295,0.6923710501295025,0.561126317008067,validation
B4_dynamic_75_joint,confident,2490,0.6567480817886002,0.547625571190114,validation
B4_dynamic_75_joint,ambiguous,295,0.6267371924246772,0.5389818232948497,validation
B4_no_pruning,confident,2600,0.3759667462110519,0.3988577656677136,test
B4_no_pruning,ambiguous,185,0.32446419669164195,0.38917069499557083,test
B4_static_pruning_25,confident,2600,0.38150294799071094,0.4049765013158321,test
B4_static_pruning_25,ambiguous,185,0.33349585484814,0.39666092879063375,test
B4_dynamic_75_independent,confident,2600,0.3825607943534851,0.4057352152180213,test
B4_dynamic_75_independent,ambiguous,185,0.33448968247787375,0.39898923861013874,test
B4_dynamic_75_joint,confident,2600,0.38078191849474724,0.40321429032545825,test
B4_dynamic_75_joint,ambiguous,185,0.3301092484512845,0.3970548903619921,test
