seed,method,layer_0_active_heads,layer_1_active_heads,layer_2_active_heads,total_active_heads
7,static,6,6,6,18
7,dynamic_trend,6,6,6,18
7,dynamic_seasonal,4,6,8,18
7,dynamic_residual,4,7,7,18
42,static,7,5,6,18
42,dynamic_trend,7,4,7,18
42,dynamic_seasonal,4,6,8,18
42,dynamic_residual,7,3,8,18
1234,static,8,5,5,18
1234,dynamic_trend,8,6,4,18
1234,dynamic_seasonal,4,8,6,18
1234,dynamic_residual,5,5,8,18
2026,static,7,5,6,18
2026,dynamic_trend,7,6,5,18
2026,dynamic_seasonal,7,4,7,18
2026,dynamic_residual,5,6,7,18
3407,static,7,5,6,18
3407,dynamic_trend,7,7,4,18
3407,dynamic_seasonal,4,8,6,18
3407,dynamic_residual,5,6,7,18
