dataset,seed,method,val_mse,val_mae,test_mse,test_mae,checkpoint_sha256,dataset_sha256,tslib_commit
ETTh1,7,dynamic_joint_25,0.6582070423039329,0.5526397947349069,0.379312653553336,0.4032660111811687,caf5b5338a60c90088209a76363b7405128b3798311e063ff13ff2c8d88885c0,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,7,static_25,0.6678431916921742,0.5570660842813324,0.3809999598313919,0.4057126583488026,caf5b5338a60c90088209a76363b7405128b3798311e063ff13ff2c8d88885c0,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,7,unpruned_baseline,0.6852128049121297,0.5592603224130679,0.3730644747695118,0.3996785131776354,caf5b5338a60c90088209a76363b7405128b3798311e063ff13ff2c8d88885c0,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,42,dynamic_joint_25,0.654842955120162,0.5541542162265983,0.3820442388044867,0.4069893364097314,38620a5cc7f7b628e15d2a47d0aaf419ffd16c212c9cb5631cbe9c0c273e0aae,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,42,static_25,0.6762396575839558,0.5621708542804101,0.3859478129732758,0.4108283715359398,38620a5cc7f7b628e15d2a47d0aaf419ffd16c212c9cb5631cbe9c0c273e0aae,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,42,unpruned_baseline,0.6880507171796083,0.5636700757637059,0.3772470871999833,0.4027871157900435,38620a5cc7f7b628e15d2a47d0aaf419ffd16c212c9cb5631cbe9c0c273e0aae,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,1234,dynamic_joint_25,0.6519763721731664,0.548802924990868,0.3787479171044522,0.4039613262220173,7046f41394f46e041e39268bd56384229d7de07a5059886cc08cda222e59fea9,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,1234,static_25,0.6662255673691015,0.5545178261329713,0.3800256227569477,0.4044766250589806,7046f41394f46e041e39268bd56384229d7de07a5059886cc08cda222e59fea9,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,1234,unpruned_baseline,0.691668609560499,0.559631490290058,0.3736268045176723,0.3991920368889718,7046f41394f46e041e39268bd56384229d7de07a5059886cc08cda222e59fea9,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,2026,dynamic_joint_25,0.6517727593117171,0.5483097141906218,0.3813332142318386,0.4047511281402149,f549af13d534a4e50bf5b86f6234c55acab75766deaeab96c73c79efcefb6e07,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,2026,static_25,0.6575227821777496,0.5507843169532516,0.3828205351074037,0.4081179860357322,f549af13d534a4e50bf5b86f6234c55acab75766deaeab96c73c79efcefb6e07,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,2026,unpruned_baseline,0.6809048626137165,0.5565516618413172,0.3736720371984708,0.3999162747359147,f549af13d534a4e50bf5b86f6234c55acab75766deaeab96c73c79efcefb6e07,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,3407,dynamic_joint_25,0.648365500309844,0.547228317543249,0.3821107102307212,0.405775461815418,062197850dd77c177b723922b489febae296318cec2e8f5872372e6e6427bfa4,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,3407,static_25,0.6650043265743573,0.5512016449518221,0.3777574975197362,0.4029964256008395,062197850dd77c177b723922b489febae296318cec2e8f5872372e6e6427bfa4,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
ETTh1,3407,unpruned_baseline,0.682833222999393,0.5572501198768187,0.3744395320034541,0.4003420656416532,062197850dd77c177b723922b489febae296318cec2e8f5872372e6e6427bfa4,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,4e938a1767106324dd753b2a44832bf870a0252e
