metric,left_method,right_method,difference_definition,block_length,seed_count,windows_per_seed,bootstrap_replicates,observed_mean_difference,relative_difference_percent,bootstrap_standard_error,ci_level,ci_low,ci_high,probability_left_better,ci_excludes_zero,conclusion
mse,dynamic_joint_25,static_25,left_minus_right,24,5,2785,10000,-0.0008005388527841075,-0.20983414679001064,0.0013335136421344252,0.95,-0.0031348308353841385,0.0020324968190815955,0.7405,False,inconclusive
mse,dynamic_joint_25,static_25,left_minus_right,96,5,2785,10000,-0.0008005388527841075,-0.20983414679001064,0.0015147272809218843,0.95,-0.0035089513902397205,0.0023899408920616313,0.6996,False,inconclusive
mse,dynamic_joint_25,static_25,left_minus_right,168,5,2785,10000,-0.0008005388527841075,-0.20983414679001064,0.0015689710912953892,0.95,-0.0036603681458008976,0.002366179586427302,0.7036,False,inconclusive
mse,dynamic_joint_25,unpruned_baseline,left_minus_right,24,5,2785,10000,0.006299759647148516,1.682583227896003,0.0007180757312728586,0.95,0.004927679580076468,0.007742095277233426,0.0,True,right_better
mse,dynamic_joint_25,unpruned_baseline,left_minus_right,96,5,2785,10000,0.006299759647148516,1.682583227896003,0.0009094463291675163,0.95,0.00455771598745034,0.008111185797050387,0.0,True,right_better
mse,dynamic_joint_25,unpruned_baseline,left_minus_right,168,5,2785,10000,0.006299759647148516,1.682583227896003,0.0009261521713409774,0.95,0.00449730424656525,0.00812342052452308,0.0,True,right_better
mse,static_25,unpruned_baseline,left_minus_right,24,5,2785,10000,0.007100298499932623,1.8963966624424036,0.0011608341507870175,0.95,0.004789530231094683,0.009313683542489282,0.0,True,right_better
mse,static_25,unpruned_baseline,left_minus_right,96,5,2785,10000,0.007100298499932623,1.8963966624424036,0.0014897745773043037,0.95,0.004261596123170522,0.01006463373850824,0.0,True,right_better
mse,static_25,unpruned_baseline,left_minus_right,168,5,2785,10000,0.007100298499932623,1.8963966624424036,0.0015573058681817079,0.95,0.004062918996339253,0.010105204642841623,0.0,True,right_better
mae,dynamic_joint_25,static_25,left_minus_right,24,5,2785,10000,-0.0014777605623488368,-0.36359855411258696,0.0011050774662693312,0.95,-0.0034155333525052777,0.0008518817365976135,0.9026,False,inconclusive
mae,dynamic_joint_25,static_25,left_minus_right,96,5,2785,10000,-0.0014777605623488368,-0.36359855411258696,0.0011524448084472038,0.95,-0.0035020617974611617,0.0009482237801680132,0.8903,False,inconclusive
mae,dynamic_joint_25,static_25,left_minus_right,168,5,2785,10000,-0.0014777605623488368,-0.36359855411258696,0.001187327675469262,0.95,-0.003551185527028574,0.001038847221296374,0.8827,False,inconclusive
mae,dynamic_joint_25,unpruned_baseline,left_minus_right,24,5,2785,10000,0.0045654515068663725,1.1402704940289656,0.0004265114509159494,0.95,0.003752629343961549,0.005422850305538233,0.0,True,right_better
mae,dynamic_joint_25,unpruned_baseline,left_minus_right,96,5,2785,10000,0.0045654515068663725,1.1402704940289656,0.0005918685756828135,0.95,0.00338673171064713,0.0057289282100068195,0.0,True,right_better
mae,dynamic_joint_25,unpruned_baseline,left_minus_right,168,5,2785,10000,0.0045654515068663725,1.1402704940289656,0.0006573103853916366,0.95,0.0032821962607800133,0.005885471415442494,0.0,True,right_better
mae,static_25,unpruned_baseline,left_minus_right,24,5,2785,10000,0.006043212069215209,1.5093570485464638,0.000984485578320886,0.95,0.004060715935922672,0.007922648304696607,0.0,True,right_better
mae,static_25,unpruned_baseline,left_minus_right,96,5,2785,10000,0.006043212069215209,1.5093570485464638,0.001129089177097493,0.95,0.003818596758207099,0.008221471171308718,0.0,True,right_better
mae,static_25,unpruned_baseline,left_minus_right,168,5,2785,10000,0.006043212069215209,1.5093570485464638,0.001196558216063185,0.95,0.003761809511522368,0.008348304089106594,0.0,True,right_better
